Ih,critical_length_d2y,critical_length_20mv,slope
0.0,595,595,0.056422705469638526
0.01,595,595,0.05668901460749274
0.02,590,590,0.056943118748685406
0.03,585,590,0.05718477639471511
0.04,585,585,0.057414390145447566
0.05,580,585,0.05763233654749137
0.06,580,580,0.05783992627310791
0.07,580,580,0.058037103154352704
0.08,575,575,0.05822630763587559
0.09,575,575,0.058406261100134804
0.1,570,575,0.05857901107477837
0.11,570,570,0.058745342931320325
0.12,570,570,0.05890548478316692
0.13,570,570,0.05906072778855151
0.14,565,570,0.059209558963890845
0.15,565,565,0.05935221291514416
0.16,565,565,0.05949104342549331
0.17,565,565,0.05962517318003976
0.18,560,565,0.05975481101955184
0.19,560,560,0.05988087879039749
0.2,560,560,0.060002487085296256
0.21,560,560,0.0601200494610154
0.22,560,560,0.060234354928739846
0.23,555,560,0.060345371976560175
0.24,555,555,0.06045326157364128
0.25,555,555,0.06055841410514975
0.26,555,555,0.06066117432555424
0.27,555,555,0.06076114351958363
0.28,555,555,0.06085854661954908
0.29,550,555,0.06095294428224288
0.3,550,555,0.061045338996808696
0.31,550,550,0.06113520309086956
0.32,550,550,0.06122247752886164
0.33,550,550,0.06130719594051205
0.34,550,550,0.06138951841896137
0.35000000000000003,550,550,0.061469854203249734
0.36,550,550,0.06154776405734264
0.37,545,550,0.06162334912407675
0.38,545,550,0.061697119200082494
0.39,545,545,0.061769552391908705
0.4,545,545,0.0618409029844146
0.41000000000000003,545,545,0.06191038009900518
0.42,545,545,0.061978604302976324
0.43,545,545,0.062045447540107324
0.44,545,545,0.06211123539508863
0.45,545,545,0.06217617066932605
0.46,545,545,0.0622396770372595
0.47000000000000003,540,545,0.062301725448231635
0.48,540,545,0.06236283367316131
0.49,540,545,0.06242246947524813
0.5,540,540,0.062481231293105934
0.51,540,540,0.06253885773055363
0.52,540,540,0.06259517866500557
0.53,540,540,0.0626503455480162
0.54,540,540,0.06270429164083811
0.55,540,540,0.06275692117904107
0.56,540,540,0.06280766933413999
0.5700000000000001,540,540,0.06285730049930577
0.58,540,540,0.0629055779914023
0.59,540,540,0.06295156561410434
0.6,540,540,0.06299639672926109
0.61,535,540,0.06304019854914045
0.62,535,540,0.06308212766444958
0.63,535,540,0.06312320972351777
0.64,535,540,0.06316376335092347
0.65,535,535,0.06320223987059337
0.66,535,535,0.06323952427391619
0.67,535,535,0.0632761983093097
0.68,535,535,0.0633115641609675
0.6900000000000001,535,535,0.06334538011402749
0.7000000000000001,535,535,0.06337867890898974
0.71,535,535,0.06341164961395217
0.72,535,535,0.06344299684594662
0.73,535,535,0.06347348109083181
0.74,535,535,0.06350321829302452
0.75,535,535,0.06353220161039418
0.76,535,535,0.06355990258071868
0.77,535,535,0.06358714322706323
0.78,535,535,0.06361394226469176
0.79,535,535,0.06364058179704737
0.8,530,535,0.06366591462650943
0.81,530,535,0.06369088419851292
0.8200000000000001,530,535,0.06371521910552354
0.8300000000000001,530,535,0.06373896401373336
0.84,530,535,0.06376145121166106
0.85,530,535,0.0637835303303551
0.86,530,530,0.0638052366202408
0.87,530,530,0.06382662851244085
0.88,530,530,0.06384716828775919
0.89,530,530,0.06386692302612096
0.9,530,530,0.0638863374900369
0.91,530,530,0.06390518723302722
0.92,530,530,0.06392362595099052
0.93,530,530,0.06394094108975838
0.9400000000000001,530,530,0.06395778257404579
0.9500000000000001,530,530,0.063974281518958
0.96,530,530,0.06399054499281825
0.97,530,530,0.064006361094417
0.98,530,530,0.06402139968309963
0.99,530,530,0.0640361542992685
1.0,530,530,0.06405060074529927
